benchmark,source,NRMSE,Accuracy
hist,SR2,7.76152E-06,99.9999922385
hist,SR4,0.05633827,99.94366173
hist,SR8,0.05247223,99.94752777
linear,SR2,0.03707361,99.96292639
linear,SR4,8.850638,91.149362
linear,SR8,17.81007,82.18993
pca,SR2,0,100
pca,SR4,0,100
pca,SR8,0,100
adi,SR2,0.493574,99.506426
adi,SR4,0.4935527,99.5064473
adi,SR8,0.4935537,99.5064463
conv,SR2,0.6157678,99.3842322
conv,SR4,0.3248238,99.6751762
conv,SR8,0.2470476,99.7529524
fdtd,SR2,1.875377,98.124623
fdtd,SR4,2.090463,97.909537
fdtd,SR8,1.811153,98.188847
jacobi,SR2,0,100
jacobi,SR4,0,100
jacobi,SR8,0,100
seidel,SR2,0.2780336,99.7219664
seidel,SR4,0.28917,99.71083
seidel,SR8,0.8553044,99.1446956
avg,SR2,0.4124792214,99.5875207786
avg,SR4,1.5131232213,98.4868767788
avg,SR8,2.6587001163,97.3412998838
